2.89	31.38	
2.90	31.41	
2.91	31.44	
2.92	31.47	
2.93	31.50	
2.94	31.54	
2.94	31.57	
2.95	31.60	
2.96	31.63	
2.97	31.66	
2.98	31.69	
2.99	31.73	
2.99	31.76	
3.00	31.79	
3.01	31.82	
3.02	31.85	
3.03	31.88	
3.03	31.91	
3.04	31.95	
3.05	31.98	
3.06	32.01	
3.07	32.04	
3.08	32.07	
3.08	32.10	
3.09	32.13	
3.10	32.16	
3.11	32.19	
3.12	32.23	
3.13	32.26	
3.14	32.29	
3.14	32.32	
3.15	32.35	
3.16	32.38	
3.17	32.41	
3.18	32.44	
3.19	32.47	
3.19	32.50	
3.20	32.53	
3.21	32.56	
3.22	32.60	
3.25	32.63	
3.25	32.66	
3.25	32.69	
3.25	32.72	
3.26	32.75	
3.27	32.78	
3.28	32.81	
3.28	32.84	
3.29	32.87	
3.30	32.90	
3.31	32.93	
3.33	32.96	
3.33	32.99	
3.33	33.02	
3.34	33.05	
3.35	33.08	
3.37	33.11	
3.37	33.14	
3.38	33.17	
3.38	33.20	
3.39	33.23	
3.41	33.26	
3.41	33.29	
3.42	33.32	
3.43	33.35	
3.43	33.38	
3.45	33.41	
3.45	33.44	
3.46	33.47	
3.47	33.50	
3.48	33.53	
3.51	33.56	
3.51	33.59	
3.51	33.62	
3.51	33.65	
3.52	33.68	
3.53	33.71	
3.53	33.74	
3.54	33.77	
3.55	33.80	
3.59	33.83	
3.59	33.86	
3.59	33.89	
3.59	33.92	
3.59	33.95	
3.60	33.98	
3.61	34.01	
3.62	34.04	
3.63	34.07	
3.63	34.10	
3.64	34.12	
3.65	34.16	
3.66	34.18	
3.67	34.21	
3.68	34.24	
3.68	34.27	
3.70	34.30	
3.70	34.33	
3.71	34.36	
3.72	34.39	
3.73	34.42	
3.73	34.45	
3.74	34.48	
3.75	34.50	
3.76	34.53	
3.77	34.56	
3.78	34.59	
3.78	34.62	
3.79	34.65	
3.80	34.68	
3.81	34.71	
3.82	34.73	
3.83	34.76	
3.83	34.79	
3.84	34.82	
3.85	34.85	
3.87	34.88	
3.87	34.91	
3.88	34.94	
3.88	34.97	
3.89	34.99	
3.90	35.02	
3.91	35.05	
3.92	35.08	
3.93	35.11	
3.94	35.14	
3.94	35.16	
3.95	35.19	
3.96	35.22	
3.97	35.25	
3.98	35.28	
3.99	35.31	
3.99	35.34	
4.00	35.36	
4.01	35.39	
4.03	35.42	
4.04	35.45	
4.04	35.48	
4.04	35.51	
4.05	35.53	
4.06	35.56	
4.08	35.59	
4.08	35.62	
4.09	35.65	
4.09	35.67	
4.10	35.70	
4.11	35.73	
4.12	35.76	
4.12	35.78	
4.13	35.81	
4.14	35.84	
4.15	35.87	
4.16	35.90	
4.17	35.92	
4.17	35.95	
4.18	35.98	
4.20	36.01	
4.20	36.04	
4.21	36.06	
4.22	36.09	
4.23	36.12	
4.24	36.15	
4.24	36.17	
4.25	36.20	
4.26	36.23	
4.27	36.26	
4.28	36.28	
4.28	36.31	
4.29	36.34	
4.30	36.37	
4.31	36.40	
4.32	36.42	
4.32	36.45	
4.33	36.48	
4.34	36.51	
4.35	36.53	
4.36	36.56	
4.37	36.59	
4.37	36.61	
4.38	36.64	
4.39	36.67	
4.40	36.70	
4.41	36.72	
4.42	36.75	
4.42	36.78	
4.43	36.80	
4.45	36.83	
4.45	36.86	
4.46	36.89	
4.47	36.91	
4.47	36.94	
4.49	36.97	
4.49	36.99	
4.50	37.02	
4.51	37.05	
4.52	37.08	
4.53	37.10	
4.53	37.13	
4.54	37.16	
4.55	37.18	
4.56	37.21	
4.57	37.24	
4.57	37.26	
4.58	37.29	
4.59	37.32	
4.61	37.34	
4.61	37.37	
4.62	37.40	
4.62	37.42	
4.63	37.45	
4.64	37.48	
4.65	37.51	
4.66	37.53	
4.67	37.56	
4.67	37.59	
4.68	37.61	
4.69	37.64	
4.70	37.66	
4.71	37.69	
4.72	37.72	
4.72	37.74	
4.73	37.77	
4.74	37.80	
4.75	37.82	
4.76	37.85	
4.78	37.88	
4.78	37.90	
4.79	37.93	
4.79	37.96	
4.80	37.98	
4.81	38.01	
4.82	38.03	
4.82	38.06	
4.83	38.09	
4.84	38.11	
4.85	38.14	
4.86	38.17	
4.87	38.19	
4.87	38.22	
4.88	38.24	
4.90	38.27	
4.90	38.30	
4.91	38.32	
4.92	38.35	
4.92	38.38	
4.94	38.40	
4.94	38.43	
4.95	38.45	
4.96	38.48	
4.96	38.51	
4.97	38.53	
4.98	38.56	
4.99	38.58	
5.00	38.61	
5.01	38.63	
5.02	38.66	
5.02	38.69	
5.03	38.71	
5.04	38.74	
5.05	38.76	
5.07	38.79	
5.07	38.82	
5.07	38.84	
